!!!dengere	!!!denger
!1	!
!piease	!please
"compalan"	"complan"
"olves	wolves
#-d	3-d
#d	3d
#hree	three
%	&
&de	&
&even	seven
''ll	i'll
''rved	served
'bech	'beach
'm	i'm
'ot'	'pot'
'plaa	'plaza
(doll_	(doll)
(for	(fog
(green_'	(green)'
(limilar	(similar
(olitary	military
(ondon	london
(problably)	(probably)
(ulticolored	multicolored
(ummy	mummy
*splash*?1	*splash*?!
+	a
+irl	girl
,	.
,	.
,	m
,	m
,an	man
,an	man
,an	man
,an	man
,at.	mat.
,don'	.don'
,e	me
,e	me
,e!.	me!.
,e..	me..
,e....i	me....i
,emon	lemon
,hey-..	,hey...
,hoe	,how
,ife	life
,ike	like
,ime	lime
,ine	line
,ists	,its
,ithout	without
,iy	,his
,kid	kid
,lne	line
,man	man
,man	man
,me.	me.
,my	my
,my	my
,my	my
,n	in
,ncle.	uncle.
,nd	and
,o	no
,o	so
,ope	more
,ou	,dou
,oving	moving
,re	are
,rom	from
,t	my
,tan	,can
,the	.the
,w	mw
,w	mw
,waterr	,water
,way	away
,y	my
,y	my
,y	my
,y	my
,yellw,pink.	,yellow,pink.
-n	on
-wo	two
.	,
.	,
.	,
.	,
.	t
..	,
...	.so
.........coma	.........come
...mpting	.tempting
..y	.my
.ame	game
.beause	.because
.e	.we
.i	,i
.ian	.iam
.iook	.look
.ith	with
.ith	with
.miu	.you
.n	in
.nd	and
.o	to
.o	to
.onwer	.owner
.sitting	,sitting
.t.	it.
.trmas	.trams
.yhe	.the
/	.
/	?
/..	?..
/a	a
0100th	100th
0f	of
0f	of
1	!
1	!
1	2
1	a
1"17	1.17
1,,	1,
10n	ten
10n.	ten.
11.10a	11.10
119th	19th
11is	this
12-0ear-old	12-year-old
12-year0iold	12-year-old
12-year=old	12-year-old
14:38p.m	12:38p.m
15	14
15.	15
187.	1987.
1950's	1940's
1en	ten
1housands	thousands
1ne	one
1please	!please
23-years0old	23-years-old
2do	two
2hree	three
2itch...	witch...
2wo	two
2wo	two
2wo	two
2wo	two
2wo	two
2wo	two
2wo	two
2wo	two
2wo	two
2wo	two
2wo	two
35	15
3:26.	3:25.
3e	3d
3hree	three
3hree	three
3hree	three
4	5
4	a
4hree	three
50	60
6'0	6'o
6he	the
7	&
7	&
8ine	nine
9	i
9,	8,
9f	of
9nside	inside
9o	ah
:eave	leave
:hi	hi
:ooking	looking
:pcked	locked
